id,vehicle_id,location_score,features_score,spec_score,vin_score,certified_dealer_score,direct_listing_score,test_drive_score,photos_score,reviews_score,recently_posted_score,many_listings_score,overall_score
1,1,3,3,3,3,3,3,3,3,3,3,3,100
2,2,3,3,3,3,3,3,3,3,3,3,3,100
3,3,3,3,3,3,3,3,3,3,3,3,3,100
4,4,3,3,3,3,3,3,3,3,3,3,3,100
5,5,3,3,3,3,3,3,3,3,3,3,3,100
6,6,3,3,3,3,3,3,3,3,3,3,3,100
7,7,3,3,3,3,3,3,3,3,3,3,3,100
8,8,3,3,3,3,3,3,3,3,3,3,3,100
9,9,3,3,3,3,3,3,3,3,3,3,3,100
10,10,3,3,3,3,3,3,3,3,3,3,3,100
11,11,3,3,3,3,3,3,3,3,3,3,3,100
12,12,3,3,3,3,3,3,3,3,3,3,3,100
13,13,3,3,3,3,3,3,3,3,3,3,3,100
14,14,3,3,3,3,3,3,3,3,3,3,3,100
15,15,3,3,3,3,3,3,3,3,3,3,3,100
16,16,3,3,3,3,3,3,3,3,3,3,3,100
17,17,3,3,3,3,3,3,3,3,3,3,3,100
18,18,3,3,3,3,3,3,3,3,3,3,3,100
19,19,3,3,3,3,3,3,3,3,3,3,3,100
