id,name,cover_photo_url
1,Acura,https://s3.us-east-2.amazonaws.com/online-dealership-assets/static-assets/acura.jpg
2,Audi,https://s3.us-east-2.amazonaws.com/online-dealership-assets/static-assets/audi.jpg
3,BMW,https://s3.us-east-2.amazonaws.com/online-dealership-assets/static-assets/bmw.jpg
4,Buick,https://s3.us-east-2.amazonaws.com/online-dealership-assets/static-assets/buick.jpg
5,Cadillac,https://s3.us-east-2.amazonaws.com/online-dealership-assets/static-assets/cadillac.jpg
6,Chevrolet,https://s3.us-east-2.amazonaws.com/online-dealership-assets/static-assets/chevrolet.jpg
7,Chrysler,https://s3.us-east-2.amazonaws.com/online-dealership-assets/static-assets/chrysler.jpg
8,Dodge,https://s3.us-east-2.amazonaws.com/online-dealership-assets/static-assets/dodge.jpg
9,FIAT,https://s3.us-east-2.amazonaws.com/online-dealership-assets/static-assets/fiat.jpg
10,Ford,https://s3.us-east-2.amazonaws.com/online-dealership-assets/static-assets/ford.jpg
11,GMC,https://s3.us-east-2.amazonaws.com/online-dealership-assets/static-assets/gmc.jpg
12,Honda,https://s3.us-east-2.amazonaws.com/online-dealership-assets/static-assets/honda.jpg
13,Hyundai,https://s3.us-east-2.amazonaws.com/online-dealership-assets/static-assets/hyundai.jpg
14,INFINITI,https://s3.us-east-2.amazonaws.com/online-dealership-assets/static-assets/infiniti.jpg
15,Jaguar,https://s3.us-east-2.amazonaws.com/online-dealership-assets/static-assets/jaguar.jpg
16,Jeep,https://s3.us-east-2.amazonaws.com/online-dealership-assets/static-assets/jeep.jpg
17,Kia,https://s3.us-east-2.amazonaws.com/online-dealership-assets/static-assets/kia.jpg
18,Land Rover,https://s3.us-east-2.amazonaws.com/online-dealership-assets/static-assets/land-rover.jpg
19,Lexus,https://s3.us-east-2.amazonaws.com/online-dealership-assets/static-assets/lexus.jpg
20,Lincoln,https://s3.us-east-2.amazonaws.com/online-dealership-assets/static-assets/lincoln.jpg
21,Maserati,https://s3.us-east-2.amazonaws.com/online-dealership-assets/static-assets/maserati.jpg
22,Mazda,https://s3.us-east-2.amazonaws.com/online-dealership-assets/static-assets/mazda.jpg
23,Mercedes-Benz,https://s3.us-east-2.amazonaws.com/online-dealership-assets/static-assets/mercedes.jpg
24,Mercury,https://s3.us-east-2.amazonaws.com/online-dealership-assets/static-assets/mercury.jpg
25,MINI,https://s3.us-east-2.amazonaws.com/online-dealership-assets/static-assets/mini.jpg
26,Mitsubishi,https://s3.us-east-2.amazonaws.com/online-dealership-assets/static-assets/mitsubishi.jpg
27,Nissan,https://s3.us-east-2.amazonaws.com/online-dealership-assets/static-assets/nissan.jpg
28,Pontiac,https://s3.us-east-2.amazonaws.com/online-dealership-assets/static-assets/pontiac.jpg
29,Porsche,https://s3.us-east-2.amazonaws.com/online-dealership-assets/static-assets/porsche.jpg
30,Ram,https://s3.us-east-2.amazonaws.com/online-dealership-assets/static-assets/ram.jpg
31,Saturn,https://s3.us-east-2.amazonaws.com/online-dealership-assets/static-assets/saturn.jpg
32,Scion,https://s3.us-east-2.amazonaws.com/online-dealership-assets/static-assets/scion.jpg
33,Subaru,https://s3.us-east-2.amazonaws.com/online-dealership-assets/static-assets/subaru.jpg
34,Tesla,https://s3.us-east-2.amazonaws.com/online-dealership-assets/static-assets/tesla.jpg
35,Toyota,https://s3.us-east-2.amazonaws.com/online-dealership-assets/static-assets/toyota.jpg
36,Volkswagen,https://s3.us-east-2.amazonaws.com/online-dealership-assets/static-assets/volkswagen.jpg
37,Volvo,https://s3.us-east-2.amazonaws.com/online-dealership-assets/static-assets/volvo.jpg
