id,name,vehicle_make_id
1,All Models,1
2,Atlantic 200,1
3,Atlantic 500,1
4,Caponord 1200,1
5,Climber,1
6,Dorsoduro 750,1
7,Dorsoduro 1200,1
8,ETV 1000 Caponord,1
9,Mana 850,1
10,Mojito 50,1
11,Mojito 150,1
12,MXV 450,1
13,Other Models,1
14,Pegaso 650,1
15,Rally 50,1
16,RS 50,1
17,RS 125,1
18,RS 250,1
19,RST 1000 Futura,1
20,RSV 1000,1
21,RSV 1000R,1
22,RSV 1000 Tuono,1
23,RSV 1000 Tuono R,1
24,RSV Factory,1
25,RSV Mille,1
26,RSV Mille R,1
27,RSV Mille SP,1
28,RSV Nera,1
29,RSV R,1
30,RSV4,1
31,RSV4 R,1
32,RSV4 RR,1
33,RXV 45,1
34,RXV 450,1
35,RXV 55,1
36,Scarabeo 50,1
37,Scarabeo 100,1
38,Scarabeo 150,1
39,Scarabeo 200,1
40,Scarabeo 250,1
41,Scarabeo 500,1
42,Scarabeo 500IE,1
43,Shiver 750,1
44,SL 750 Shiver,1
45,SL 1000 Falco,1
46,Sportcity 50,1
47,Sportcity 125,1
48,Sportcity 250,1
49,Sportcity 300,1
50,SR 50,1
51,SXV 45,1
52,SXV 55,1
53,SXV 550,1
54,Tuono,1
55,Tuono R,1
56,TXR312,1
57,All Models,2
58,C Evolution,2
59,C600,2
60,C650 Sport,2
61,C650GT,2
62,F650,2
63,F650CS,2
64,F650ST,2
65,F700GS,2
66,F800GS,2
67,F800GT,2
68,F800R,2
69,F800S,2
70,F800ST,2
71,G310GS,2
72,G310R,2
73,G450X,2
74,G650,2
75,G650GS,2
76,HP2,2
77,HP4,2
78,K1,2
79,K100,2
80,K100LT,2
81,K100RS,2
82,K100RT,2
83,K1100LT,2
84,K1100RS,2
85,K1200GT,2
86,K1200LT,2
87,K1200R,2
88,K1200RS,2
89,K1200S,2
90,K1300GT,2
91,K1300R,2
92,K1300S,2
93,K1600B,2
94,K1600GT,2
95,K1600GTL,2
96,K75,2
97,K75/3,2
98,K75C,2
99,K75RT,2
100,K75S,2
101,K75T,2
102,Other Models,2
103,R nineT,2
104,R100,2
105,R100/7,2
106,R100CS,2
107,R100GS,2
108,R100M,2
109,R100R,2
110,R100RS,2
111,R100RT,2
112,R100S,2
113,R100T,2
114,R100TR,2
115,R1100GS,2
116,R1100R,2
117,R1100RL,2
118,R1100RS,2
119,R1100RSL,2
120,R1100RT,2
121,R1100RTL,2
122,R1100RTS,2
123,R1100S,2
124,R1150GS,2
125,R1150R,2
126,R1150RS,2
127,R1200,2
128,R1200C,2
129,R1200CE,2
130,R1200CL,2
131,R1200CM,2
132,R1200CS,2
133,R1200GS,2
134,R1200R,2
135,R1200RS,2
136,R1200RT,2
137,R1200S,2
138,R1200ST,2
139,R26,2
140,R27,2
141,R50,2
142,R50/2,2
143,R50/5,2
144,R50S,2
145,R50US,2
146,R60/2,2
147,R60/5,2
148,R60/6,2
149,R60/7,2
150,R60US,2
151,R65,2
152,R65LS,2
153,R69,2
154,R75/6,2
155,R80G/S,2
156,R80RT,2
157,R80ST,2
158,R850R,2
159,R90/6,2
160,R90/S,2
161,R900RT,2
162,S1000R,2
163,S1000RR,2
164,S1000XR,2
165,All Models,3
166,Commander 800R,3
167,Commander 1000,3
168,Commander 1000R,3
169,Commander Electric,3
170,Commander MAX 800R,3
171,Commander MAX 1000,3
172,Commander MAX 1000R,3
173,Defender,3
174,DS 70,3
175,DS 90,3
176,DS 250,3
177,DS 450,3
178,DS 650,3
179,GP 250,3
180,Maverick 900,3
181,Maverick 1000R,3
182,Maverick MAX 1000,3
183,Maverick MAX 1000R,3
184,Other Models,3
185,Outlander 400,3
186,Outlander 450,3
187,Outlander 500,3
188,Outlander 570,3
189,Outlander 650,3
190,Outlander 800,3
191,Outlander 800R,3
192,Outlander 850,3
193,Outlander 1000,3
194,Outlander 1000R,3
195,Outlander MAX 400,3
196,Outlander MAX 450,3
197,Outlander MAX 500,3
198,Outlander MAX 570,3
199,Outlander MAX 650,3
200,Outlander MAX 800,3
201,Outlander MAX 800R,3
202,Outlander MAX 850,3
203,Outlander MAX 1000,3
204,Outlander MAX 1000R,3
205,Qualifier 125,3
206,Qualifier IV 125,3
207,Qualifier IV 175,3
208,Rally 200,3
209,Renegade 500,3
210,Renegade 570,3
211,Renegade 800,3
212,Renegade 800R,3
213,Renegade 850,3
214,Renegade 1000R,3
215,Spyder F3,3
216,Spyder F3-S,3
217,Spyder F3-T,3
218,Spyder GS,3
219,Spyder RS,3
220,Spyder RS-S,3
221,Spyder RT,3
222,Spyder RT-S,3
223,Spyder ST,3
224,Spyder ST-S,3
225,TNT 125,3
226,TNT 250,3
227,All Models,4
228,500 GTL,4
229,750 SS,4
230,848 Dark,4
231,860 GT,4
232,900 MHR,4
233,900 SS,4
234,907 IE,4
235,1199 Superleggera,4
236,Cadet,4
237,Darmah,4
238,Desmo 250,4
239,Desmo 350,4
240,Desmo 450,4
241,Diana 250,4
242,Diavel,4
243,E-900,4
244,F1,4
245,GT,4
246,GTS,4
247,Hypermotard,4
248,Hypermotard 796,4
249,Hypermotard 939,4
250,Hypermotard 1100,4
251,Hyperstrada,4
252,Indiana,4
253,MH900E,4
254,Monster 600,4
255,Monster 695,4
256,Monster 696,4
257,Monster 750,4
258,Monster 796,4
259,Monster 797,4
260,Monster 800,4
261,Monster 821,4
262,Monster 900,4
263,Monster 1100,4
264,Monster 1200,4
265,Monza 160,4
266,Monza 250,4
267,Multistrada 620,4
268,Multistrada 950,4
269,Multistrada 1100,4
270,Multistrada 1200,4
271,Multistrada 1260,4
272,Other Models,4
273,Pantah,4
274,Paso,4
275,Road 250,4
276,Road 350,4
277,Scrambler 250,4
278,Sebring,4
279,Sport 620,4
280,Sportclassic,4
281,Sporttouring,4
282,Streetfighter,4
283,Streetfighter 848,4
284,Superbike 748,4
285,Superbike 749,4
286,Superbike 848,4
287,Superbike 851,4
288,Superbike 888,4
289,Superbike 899,4
290,Superbike 900,4
291,Superbike 916,4
292,Superbike 959,4
293,Superbike 996,4
294,Superbike 998,4
295,Superbike 999,4
296,Superbike 1098,4
297,Superbike 1198,4
298,Superbike 1199,4
299,Superbike 1299,4
300,Supersport 750,4
301,Supersport 800,4
302,Supersport 900,4
303,Supersport 937,4
304,Supersport 999,4
305,Supersport 1000,4
306,TS 175,4
307,All Models,5
308,Baja 100,5
309,Baja 100L,5
310,Cafe Racer,5
311,Disc Glide,5
312,Dyna,5
313,EL,5
314,Electra Glide,5
315,Factory Racer,5
316,FL,5
317,FLE,5
318,FLH,5
319,FLHC,5
320,FLHF,5
321,FLHP,5
322,FLHS,5
323,FLP,5
324,FLPF,5
325,FLT,5
326,FXR2,5
327,FXR3,5
328,FXR4,5
329,FXWG,5
330,JDXL,5
331,Liberty,5
332,Low Glide,5
333,Low Rider,5
334,M50,5
335,M65,5
336,Model 11K,5
337,Model 125,5
338,Moldel UL,5
339,MS65,5
340,MX250,5
341,Night Rod,5
342,Other Models,5
343,Pacer 175,5
344,Rapido 125,5
345,Scat,5
346,Servi-Car,5
347,Shortster,5
348,Softail,5
349,Sprint 250,5
350,Sprint 350,5
351,SR100,5
352,SS125,5
353,SS175,5
354,SS250,5
355,ST,5
356,Street 500,5
357,Street 750,5
358,Street Rod,5
359,Sturgis,5
360,Super Glide,5
361,SX125,5
362,SX175,5
363,SX250,5
364,SXT125,5
365,TLE,5
366,Topper,5
367,Touring,5
368,Trike,5
369,TX125,5
370,V-Rod,5
371,Wide Glide,5
372,WL,5
373,WLA,5
374,X90,5
375,XA,5
376,XL Sportster,5
377,XR 750,5
378,Z90,5
379,All Models,6
380,599,6
381,919,6
382,Aero 50,6
383,Aero 80,6
384,Aero 125,6
385,Africa Twin,6
386,Ascot,6
387,ATC250,6
388,Big Red 700,6
389,Big Ruckus,6
390,C70,6
391,C90,6
392,CB1,6
393,CB125S,6
394,CB200T,6
395,CB300F,6
396,CB350F,6
397,CB360,6
398,CB400F,6
399,CB500F,6
400,CB500K,6
401,CB500X,6
402,CB550,6
403,CB550K,6
404,CB650,6
405,CB650C,6
406,CB650F,6
407,CB750,6
408,CB900,6
409,CB900C,6
410,CB1000,6
411,CB1000R,6
412,CB1100,6
413,CBR250R,6
414,CBR300R,6
415,CBR500R,6
416,CBR600F,6
417,CBR600RR,6
418,CBR600S,6
419,CBR600SE,6
420,CBR650F,6
421,CBR1000F,6
422,CBR1000R,6
423,CBR1000RR,6
424,CBR1000XX,6
425,CBX,6
426,CM200T,6
427,CM250C,6
428,CM400A,6
429,CM400C,6
430,CM400E,6
431,CM400T,6
432,CM450A,6
433,CM450C,6
434,CM450E,6
435,Cota,6
436,CR125R,6
437,CR250M,6
438,CR250R,6
439,CR480R,6
440,CR500R,6
441,CR80R,6
442,CR85R,6
443,CRF100F,6
444,CRF110F,6
445,CRF125F,6
446,CRF150F,6
447,CRF150R,6
448,CRF230F,6
449,CRF230L,6
450,CRF230M,6
451,CRF250L,6
452,CRF250R,6
453,CRF250X,6
454,CRF450R,6
455,CRF450RX,6
456,CRF450X,6
457,CRF50F,6
458,CRF70F,6
459,CRF80F,6
460,CT110,6
461,CT70,6
462,CTX1300,6
463,CTX700,6
464,CTX700N,6
465,Cub,6
466,CX500C,6
467,CX500D,6
468,CX500TTC,6
469,CX650C,6
470,CX650T,6
471,DN-01,6
472,Dream,6
473,Elite 50,6
474,Elite 80,6
475,Elite 110,6
